2, GCOM-C SGLI  IR channel 2 from file JAXA_GCOMC_SGLI_TIR_RSR_V5.csv
Number of data points:
801
Wavenumber (cm-1)   Filter response
      886.132000       0.032797
      886.524800       0.031717
      886.918000       0.030636
      887.311400       0.029553
      887.705300       0.028469
      888.099500       0.027383
      888.494000       0.026488
      888.888900       0.025786
      889.284100       0.025085
      889.679700       0.024383
      890.075700       0.023680
      890.472000       0.022976
      890.868600       0.022270
      891.265600       0.021561
      891.663000       0.020850
      892.060700       0.020136
      892.458700       0.019577
      892.857100       0.019073
      893.255900       0.018563
      893.655000       0.018051
      894.054500       0.017539
      894.454400       0.017027
      894.854600       0.016515
      895.255100       0.016004
      895.656100       0.015493
      896.057300       0.014997
      896.459000       0.014737
      896.861000       0.014478
      897.263300       0.014217
      897.666100       0.013957
      898.069200       0.013695
      898.472600       0.013432
      898.876400       0.013168
      899.280600       0.012902
      899.685100       0.012635
      900.090000       0.012361
      900.495300       0.012079
      900.900900       0.011796
      901.306900       0.011510
      901.713300       0.011224
      902.120000       0.010938
      902.527100       0.010651
      902.934500       0.010366
      903.342400       0.010080
      903.750600       0.009747
      904.159100       0.009377
      904.568100       0.008975
      904.977400       0.008546
      905.387100       0.008094
      905.797100       0.007625
      906.207500       0.007143
      906.618300       0.006653
      907.029500       0.006160
      907.441000       0.005669
      907.852900       0.005185
      908.265200       0.004712
      908.677900       0.004256
      909.090900       0.003821
      909.504300       0.003412
      909.918100       0.003034
      910.332300       0.002692
      910.746800       0.002390
      911.161700       0.002135
      911.577000       0.001929
      911.992700       0.001779
      912.408800       0.001689
      912.825200       0.001649
      913.242000       0.001610
      913.659200       0.001573
      914.076800       0.001536
      914.494700       0.001501
      914.913100       0.001467
      915.331800       0.001435
      915.750900       0.001403
      916.170400       0.001372
      916.590300       0.001343
      917.010500       0.001314
      917.431200       0.001286
      917.852200       0.001259
      918.273600       0.001232
      918.695500       0.001206
      919.117600       0.001181
      919.540200       0.001157
      919.963200       0.001133
      920.386600       0.001110
      920.810300       0.001087
      921.234500       0.001065
      921.659000       0.001044
      922.083900       0.001023
      922.509200       0.001003
      922.934900       0.000984
      923.361000       0.000965
      923.787500       0.000947
      924.214400       0.000929
      924.641700       0.000912
      925.069400       0.000895
      925.497500       0.000878
      925.925900       0.000863
      926.354800       0.000847
      926.784100       0.000832
      927.213700       0.000817
      927.643800       0.000803
      928.074200       0.000789
      928.505100       0.000776
      928.936400       0.000763
      929.368000       0.000750
      929.800100       0.000738
      930.232600       0.000726
      930.665400       0.000714
      931.098700       0.000703
      931.532400       0.000692
      931.966400       0.000681
      932.400900       0.000670
      932.835800       0.000660
