2, METOP-2 Channel 2 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C002.INP
Number of data points:
1080
Wavenumber (cm-1)   Filter response
    10730.000000       0.766741
    10735.000000       0.768234
    10740.000000       0.769804
    10745.000000       0.771450
    10750.000000       0.773172
    10755.000000       0.774969
    10760.000000       0.776844
    10765.000000       0.778797
    10770.000000       0.780828
    10775.000000       0.782940
    10780.000000       0.785133
    10785.000000       0.787396
    10790.000000       0.789716
    10795.000000       0.792078
    10800.000000       0.794468
    10805.000000       0.796872
    10810.000000       0.799276
    10815.000000       0.801667
    10820.000000       0.804030
    10825.000000       0.806351
    10830.000000       0.808624
    10835.000000       0.810845
    10840.000000       0.813015
    10845.000000       0.815130
    10850.000000       0.817190
    10855.000000       0.819191
    10860.000000       0.821130
    10865.000000       0.823006
    10870.000000       0.824816
    10875.000000       0.826558
    10880.000000       0.828247
    10885.000000       0.829894
    10890.000000       0.831515
    10895.000000       0.833122
    10900.000000       0.834729
    10905.000000       0.836350
    10910.000000       0.837999
    10915.000000       0.839689
    10920.000000       0.841433
    10925.000000       0.843233
    10930.000000       0.845080
    10935.000000       0.846967
    10940.000000       0.848885
    10945.000000       0.850827
    10950.000000       0.852784
    10955.000000       0.854750
    10960.000000       0.856717
    10965.000000       0.858676
    10970.000000       0.860625
    10975.000000       0.862573
    10980.000000       0.864532
    10985.000000       0.866516
    10990.000000       0.868537
    10995.000000       0.870608
    11000.000000       0.872744
    11005.000000       0.874957
    11010.000000       0.877261
    11015.000000       0.879671
    11020.000000       0.882190
    11025.000000       0.884804
    11030.000000       0.887500
    11035.000000       0.890262
    11040.000000       0.893078
    11045.000000       0.895934
    11050.000000       0.898817
    11055.000000       0.901713
    11060.000000       0.904609
    11065.000000       0.907493
    11070.000000       0.910342
    11075.000000       0.913129
    11080.000000       0.915827
    11085.000000       0.918408
    11090.000000       0.920843
    11095.000000       0.923102
    11100.000000       0.925156
    11105.000000       0.926973
    11110.000000       0.928522
    11115.000000       0.929776
    11120.000000       0.930752
    11125.000000       0.931493
    11130.000000       0.932037
    11135.000000       0.932422
    11140.000000       0.932687
    11145.000000       0.932869
    11150.000000       0.933004
    11155.000000       0.933130
    11160.000000       0.933284
    11165.000000       0.933497
    11170.000000       0.933771
    11175.000000       0.934097
    11180.000000       0.934466
    11185.000000       0.934868
    11190.000000       0.935296
    11195.000000       0.935741
    11200.000000       0.936193
    11205.000000       0.936645
    11210.000000       0.937088
    11215.000000       0.937515
    11220.000000       0.937923
    11225.000000       0.938314
    11230.000000       0.938688
    11235.000000       0.939046
    11240.000000       0.939389
    11245.000000       0.939716
    11250.000000       0.940029
    11255.000000       0.940328
    11260.000000       0.940612
    11265.000000       0.940883
    11270.000000       0.941137
    11275.000000       0.941372
    11280.000000       0.941585
    11285.000000       0.941770
    11290.000000       0.941927
    11295.000000       0.942050
    11300.000000       0.942136
    11305.000000       0.942180
    11310.000000       0.942179
    11315.000000       0.942129
    11320.000000       0.942030
